id,hostname,eventData.name,eventData.description,eventData.sourceId,eventData.url,eventData.startDate,eventData.cancelled,eventData.location.sourceId,eventData.location.url,eventData.location.name,eventData.location.location.name,eventData.location.location.address.country.longName,eventData.location.location.address.city,eventData.location.location.address.postalCode,eventData.location.location.address.street,eventData.location.location.coordinate.lat,eventData.location.location.coordinate.lon,eventData.location.category,eventData.sourceDate,eventData.location.location.address.streetHouseNumber,eventData.location.eventPlaceId,dayofweek,year,month,season,district,supercategory,subcategory,starting_hour,time_of_day
prinz.de/stuttgart/events/203179-3durch3reihe-sprachkunst,prinz.de,3durch3.reihe Sprachkunst,"Freidrich Achleitner liest Prosa, Künstler Michael Glasmeierpräsentiert poetische hefte und Thomas Kapielski hat ebenfalls Werke im Gepäck.",203179,http://prinz.de/stuttgart/events/203179-3durch3reihe-sprachkunst,2012-12-05 08:00:00,False,98067,http://prinz.de/stuttgart/locations/98067-cafe-lesbar/,Café LesBar,Café LesBar,,Stuttgart,,Mailänder Platz 1,48.789888,9.1833258,kultur/lesung,,,,2,2012,12,winter,Other,kultur,lesung,08:00:00,Morning
prinz.de/stuttgart/events/224589-glockenmusik-2,prinz.de,Glockenmusik,"Stuttgart ist ungewöhnlich reich an besonders klangschönen historischen und modernen Glocken. Glocken prägen den Klang einer Stadtlandschaft und bilden deren Klangsilhouette - Grund genug für das Musikfest Stuttgart, sich ihrer anzunehmen. Der Glockensachverständige Jens Harnisch wird ausgewählte Geläute vorstellen. Mit diesen Glockenkonzerten lässt sich Stuttgart wunderbar musikalisch erobern.",224589,http://prinz.de/stuttgart/events/224589-glockenmusik-2,2012-09-05 03:00:00,False,97756,http://prinz.de/stuttgart/locations/97756-christuskirche-stuttgart/,Christuskirche Stuttgart,Christuskirche Stuttgart,,Stuttgart,,- -,48.7754181,9.1817588,kultur/klassik,,,,2,2012,9,autumn,Other,kultur,klassik,03:00:00,Night
www.last.fm/event/384172+Bernd+Begemann+at+Schaufenster-Mitte+on+21+November+2007,www.last.fm,Bernd Begemann,,384172,http://www.last.fm/event/384172+Bernd+Begemann+at+Schaufenster-Mitte+on+21+November+2007,2007-11-21 12:42:01,False,8875072,http://www.last.fm/venue/8875072+Schaufenster-Mitte,Schaufenster-Mitte,Schaufenster-Mitte,Germany,Stuttgart,,,48.778153,9.174936,,,,3df9f4ff64d344a65de3aa4e5dba83842a41ad8439cf0fe832717e68f0f690fe,2,2007,11,autumn,Other,anderes,anderes,12:42:01,Afternoon
www.last.fm/event/3276697+Touch%C3%A9+Amor%C3%A9+at+Jugendhaus+West+on+22+August+2012,www.last.fm,Touché Amoré,,3276697,http://www.last.fm/event/3276697+Touch%C3%A9+Amor%C3%A9+at+Jugendhaus+West+on+22+August+2012,2012-08-22 19:00:00,False,8812917,http://www.last.fm/venue/8812917+Jugendhaus+West,Jugendhaus West,Jugendhaus West,Germany,Stuttgart,70193,Bebelstraße 26,48.775085,9.154581,,2015-07-15 12:00:53.836298400,Bebelstraße 26,ebe3c81ce133ece826ab4fab41a4d69010c88271df5ac1749da3459f1a48bf0f,2,2012,8,summer,Kräherwald,anderes,anderes,19:00:00,Evening
www.last.fm/event/3374473+Charlie+Musselwhite+at+Merlin+on+21+November+2012,www.last.fm,Charlie Musselwhite,"<div class=""bbcode"">Charlie Musselwhite – die vielleicht größte Hausnummer im bisherigen 10jährigen Blues-Programm des Merlin. Das Urgestein der Bluesharp hat uns Meilensteine des Chicago-Blues geschenkt. Der Autodidakt mit dem Riesen-Feeling und dem gleichzeitig technisch hervorragenden Mundharmonika-Spiel debütierte 1967 mit der inzwischen legendären LP Stand Back (u.a. mit Harvey Mandel und Barry Goldberg!); &quot;Leave The Blues To Us &quot;mit Mike Bloomfield erschien 1975; die grandiose &quot;Direct To Disc Recording&quot; von 1978 ist unvergessen, genauso wie &quot;The Harmonica According To Charlie Musselwhite&quot;, an der Stefan Grossman mitwirkte. Er spielte mit Legenden wie Muddy Waters, Howlin´Wolf und John Lee Hooker - letzterer war sein Trauzeuge. Charlie Musselwhite ist sympathisch und bescheiden geblieben -Starallüren überlässt er anderen. Und das trotz vieler Auszeichnungen, darunter 14 W.C. Handy Awards und 6 Grammy-Nominierungen. 2010 wurde er in die Blues Hall of Fame der Blues-Foundation aufgenommen.<br /><br /> <br /><br />Vorverkauf (Reservix oder direkt im Merlin) bzw. telefonische<br /><br />Reservierung dringend empfohlen.<br /><br /> <br /><br /><a href=""http://www.charliemusselwhite.com"" rel=""nofollow"">www.charliemusselwhite.com</a></div>",3374473,http://www.last.fm/event/3374473+Charlie+Musselwhite+at+Merlin+on+21+November+2012,2012-11-21 20:00:00,False,8793360,http://www.last.fm/venue/8793360+Merlin,Merlin,Merlin,Germany,Stuttgart,70178,Augustenstraße 72,48.770077,9.161689,,2015-07-15 11:26:50.683346800,Augustenstraße 72,955b29063b5ef5efc6485c319202c8b1129e0163a293ce513739b643583d9a25,2,2012,11,autumn,Karlshöhe,anderes,anderes,20:00:00,Evening
www.last.fm/event/3425372+Y%27AKOTO+%22BABYBLUES%22+LIVE+%22+2012+-+Zapata+Stuttgart,www.last.fm,"Y'AKOTO ""BABYBLUES"" LIVE "" 2012 - Zapata Stuttgart","<div class=""bbcode"">präsentiert von Kulturnews, Juice, Tape TV, Prinz und Jazzthing<br />//////////////////////////////////////////////////////////////////////////////<br /><br />TICKETS UNTER: <a href=""http://www.eventim.de/yakoto"" rel=""nofollow"">http://www.eventim.de/yakoto</a><br />//////////////////////////////////////////////////////////////////////////////<br /><br />Als sich Jennifer Yaa Akoto Kieck im März dieses Jahres auf musikalische Seelsuch-Mission begab, war ihr Afro-Soul-Folk Soundentwurf zwar bereits klar definiert, das Ziel ihrer künstlerischen Reise jedoch noch nicht abzusehen. Auf den Spuren großer Vorbilder wie Nina Simone und Billie Holiday markierte ihr Debütalbum „Babyblues“ den ersten Schritt in bisher unbekanntes Terrain; auf einen Weg, der binnen kürzester Zeit nur in eine einzige Richtung führte, und zwar schnurstracks nach oben.<br /><br />Die Platte schaffte es auf Anhieb in die Top 20 der Media-Control-Charts, auf Platz 5 bei iTunes und Platz 2 bei Amazon.<br />Bereits Stolze 30.000 Plattenkäufer zeigen sich nach wie vor begeistert von Y’akotos Erstlingswerk, mit dem sie nicht nur in Frankreich zunehmend für Aufmerksamkeit sorgt, sondern das auch hiesige Kritiker zu wahren Lobeshymnen hinreißt.<br /><br />Die Vogue nennt Y’akoto eine Lichtgestalt. Für Arte ist sie eine musikalische Sensation. Und von MTV wird Y’akoto bereits als nächste große Souldiva gefeiert, die mit Tiefe, Weisheit und Charakter zu überzeugen weiß.<br />Selbst bei der als besonders kritisch geltenden Süddeutschen Zeitung ist man beeindruckt:<br /><br />„Seele! Aufregend abgründig. Mit Y’akotos Debütalbum zeigt sich deutscher Soul endlich wieder ungeschliffen. Aufregend wird es durch das Verschattete, das hier und da in ihrer Musik aufscheint: Ein Anflug von Dunkelheit und Schmerz, wie im autobiographischen Titelsong des Albums ‚Babyblues’, der tatsächlich Erinnerungen wachruft an Billie Holiday.“ Eine ehrlich formulierte Respektsbekundung in 47 Worten.<br /><br />Nach gemeinsamen Konzerten mit Künstlern wie Erykah Badu, Angelique Kidjo, Joy Denalane oder Nneka und einer begeisternden, ausverkauften Tournee im Mai führt Y’akotos künstlerischer Weg nicht nur schnurstracks weiter nach oben, sondern ab November auch ein weiteres Mal auf die Konzertbühnen des Landes. Denn das Ziel ihrer musikalischen Seelsuch-Mission hat Jennifer Yaa Akoto Kieck noch lange nicht erreicht.<br /><br />Y'AKOTO IM NETZ<br /><a href=""http://www.yakoto.de/"" rel=""nofollow"">http://www.yakoto.de/</a> <br /><a href=""http://www.facebook.com/yakototruth"" rel=""nofollow"">http://www.facebook.com/yakototruth</a> <a href=""http://www.youtube.com/user/yakototruth"" rel=""nofollow"">http://www.youtube.com/user/yakototruth</a></div>",3425372,http://www.last.fm/event/3425372+Y%27AKOTO+%22BABYBLUES%22+LIVE+%22+2012+-+Zapata+Stuttgart,2011-11-02 19:30:00,False,8789566,http://www.last.fm/venue/8789566+Zapata,Zapata,Zapata,Germany,Stuttgart,70376,Pragstr. 120,48.807056,9.196952,,2015-07-15 15:13:46.403016300,Pragstr. 120,ea4a4b41759eecf59f7766ef1ad001d169898765e04be44f88f5bdaada266cc4,2,2011,11,autumn,Neckarvorstadt,anderes,anderes,19:30:00,Evening
www.last.fm/event/2093073+THE+SCURRILOUS+TOUR+2012,www.last.fm,THE SCURRILOUS TOUR 2012,,2093073,http://www.last.fm/event/2093073+THE+SCURRILOUS+TOUR+2012,2012-02-29 19:00:00,False,8793825,http://www.last.fm/venue/8793825+Universum,Universum,Universum,Germany,Stuttgart,70173,Charlottenplatz 1,48.775898,9.183053,,2015-07-15 09:36:23.688589500,Charlottenplatz 1,da91e135ab9e14a581f4e715e89323038b3119b8ec46dba3691bff8757d127ed,2,2012,2,winter,Europaviertel,anderes,anderes,19:00:00,Evening
www.last.fm/event/3327220+Henkersfest+2012,www.last.fm,Henkersfest 2012,,3327220,http://www.last.fm/event/3327220+Henkersfest+2012,2012-07-25 18:00:00,False,8937884,http://www.last.fm/venue/8937884+Wilhelmsplatz,Wilhelmsplatz,Wilhelmsplatz,Germany,Stuttgart,,,48.771459,9.17848,,2015-07-15 16:23:19.482507800,,4cedc2b8b1ec75bc0bc4ddec935a8944227bff5091845ec4d02b027bbc2a258c,2,2012,7,summer,Other,anderes,anderes,18:00:00,Evening
www.last.fm/event/3337557+%22Purity%22-Tour,www.last.fm,"""Purity""-Tour","<div class=""bbcode"">Eintritt frei, Spende für Trinkwasserprojekt Viva con Agua möglich</div>",3337557,http://www.last.fm/event/3337557+%22Purity%22-Tour,2012-08-29 21:00:00,False,10265833,http://www.last.fm/venue/10265833+Fou+Fou,Fou Fou,Fou Fou,Germany,Stuttgart,,,,,,,,f0740507a8dabf059f0d6845f8a78ce2398d5efb5c5203cb6dec1b86e9e72e28,2,2012,8,summer,Other,anderes,anderes,21:00:00,Evening
www.last.fm/event/2091691+Gus+Black,www.last.fm,Gus Black,"<div class=""bbcode"">Verlegt vom 30.04.11</div>",2091691,http://www.last.fm/event/2091691+Gus+Black,2011-11-02 20:00:00,False,8793825,http://www.last.fm/venue/8793825+Universum,Universum,Universum,Germany,Stuttgart,70173,Charlottenplatz 1,48.775898,9.183053,,2015-07-15 09:36:25.995557300,Charlottenplatz 1,da91e135ab9e14a581f4e715e89323038b3119b8ec46dba3691bff8757d127ed,2,2011,11,autumn,Europaviertel,anderes,anderes,20:00:00,Evening
www.last.fm/event/1558948+Peter+Fessler+-Solophonic-,www.last.fm,Peter Fessler -Solophonic-,,1558948,http://www.last.fm/event/1558948+Peter+Fessler+-Solophonic-,2010-09-29 18:44:01,False,8817882,http://www.last.fm/venue/8817882+BIX,BIX,BIX,Germany,Stuttgart,70182,Leonhardsplatz 28,48.772561,9.179797,,2015-07-15 10:21:04.786081100,Leonhardsplatz 28,96704c96f1bb0c5f16aee3e16e1783fef941290db9c3f2573b6a3db92c62a2f8,2,2010,9,autumn,Heusteigviertel,anderes,anderes,18:44:01,Evening
www.last.fm/festival/1946105+Allmand+Open+Air,www.last.fm,Allmand Open Air,"<div class=""bbcode"">Das größte Wohnheimsfest der Region findet dieses Jahr am 08. Juni statt. Wie immer gibt es an den Ständen viele internationale kulinarische Spezialitäten und ausreichend alkoholische Getränke. <br /><br />Auf der Hauptbühne werden vier Bands rocken und es gibt zusätzlich zwei DJ-Floors. <br /><br />Dieses Jahr mit 0,5l-Wulle-Bier, Pils und Sanwald-Weizen. Bier ab 1 Euro in der Happy-Hour :)<br /><br />Eintritt frei! <br />Beginn: 17:30, Ende: ca. 1 Uhr. Musik solange das Ordnungsamt es zulässt ;)<br /><br /><a href=""http://www.last.fm/tag/festival"" class=""bbcode_tag"" rel=""tag"">festival</a><a href=""http://www.last.fm/tag/minimal"" class=""bbcode_tag"" rel=""tag"">minimal</a><a href=""http://www.last.fm/tag/punk"" class=""bbcode_tag"" rel=""tag"">punk</a><a href=""http://www.last.fm/tag/rock"" class=""bbcode_tag"" rel=""tag"">rock</a><a href=""http://www.last.fm/tag/pop"" class=""bbcode_tag"" rel=""tag"">pop</a></div>",1946105,http://www.last.fm/festival/1946105+Allmand+Open+Air,2011-06-08 07:08:01,False,9005264,http://www.last.fm/venue/9005264+Allmandring+(Campus+Vaihingen),Allmandring (Campus Vaihingen),Allmandring (Campus Vaihingen),Germany,Stuttgart,,,48.740435,9.095519,,2015-07-15 15:01:03.140758600,,728d24efb5f60788068ef8b338b1787e05a6e1091687ba5155d1eab989ad6e09,2,2011,6,summer,Other,anderes,anderes,07:08:01,Morning
www.last.fm/event/1939254+Symphonica:+The+Orchestral+Tour+,www.last.fm,Symphonica: The Orchestral Tour ,,1939254,http://www.last.fm/event/1939254+Symphonica:+The+Orchestral+Tour+,2011-10-12 07:49:01,False,8779783,http://www.last.fm/venue/8779783+Hanns-Martin-Schleyer-Halle,Hanns-Martin-Schleyer-Halle,Hanns-Martin-Schleyer-Halle,Germany,Stuttgart,70372,Mercedesstr. 69,48.793811,9.226992,,2015-07-15 11:01:56.180787500,Mercedesstr. 69,46969e1dbfb9ce05c849a2425847f03cc6d8acbcaa5d13df5850e34d75389ff1,2,2011,10,autumn,Bad Cannstatt,anderes,anderes,07:49:01,Morning
www.last.fm/event/1882646+Blessthefall+at+Die+R%C3%B6hre+on+12+October+2011,www.last.fm,Blessthefall,,1882646,http://www.last.fm/event/1882646+Blessthefall+at+Die+R%C3%B6hre+on+12+October+2011,2011-10-12 20:00:00,False,8824404,http://www.last.fm/venue/8824404+Die+R%C3%B6hre,Die Röhre,Die Röhre,Germany,Stuttgart,70173,Willy-Brandt-Straße 2/1,48.78186,9.187295,,2015-07-15 11:50:31.931975400,Willy-Brandt-Straße 2/1,bac87a8dd8e46abb485ae8fda265e87609776dc2b83c7bc6ef21a5b95faa1780,2,2011,10,autumn,Europaviertel,anderes,anderes,20:00:00,Evening
www.last.fm/event/3641688+Empire+Escape+at+Caf%C3%A9+Galao+on+12+February+2014,www.last.fm,Empire Escape,,3641688,http://www.last.fm/event/3641688+Empire+Escape+at+Caf%C3%A9+Galao+on+12+February+2014,2014-02-12 17:40:01,False,9067304,http://www.last.fm/venue/9067304+Caf%C3%A9+Galao,Café Galao,Café Galao,Germany,Stuttgart,70178,Tübinger Straße 90,48.765214,9.168722,,2015-07-15 11:26:19.690761200,Tübinger Straße 90,ea9ac95cfabc1d6eb87ecf236f027bc5eff5f09f0cdf1a3a41b8f76eecdec76e,2,2014,2,winter,Karlshöhe,anderes,anderes,17:40:01,Afternoon
www.last.fm/event/3592797+Shout+Out+Louds+at+Wagenhallen+on+2+October+2013,www.last.fm,Shout Out Louds,,3592797,http://www.last.fm/event/3592797+Shout+Out+Louds+at+Wagenhallen+on+2+October+2013,2013-10-02 20:00:00,False,8893002,http://www.last.fm/venue/8893002+Wagenhallen,Wagenhallen,Wagenhallen,Germany,Stuttgart,70191,Innerer Nordbahnhof 1,48.800405,9.186083,,2015-07-15 09:36:10.790677600,Innerer Nordbahnhof 1,65471a0456ae6120c192809883714dc3cafd7233bfd5efebd8045b8947dc1121,2,2013,10,autumn,Am Rosensteinpark,anderes,anderes,20:00:00,Evening
