id,hostname,eventData.name,eventData.description,eventData.sourceId,eventData.url,eventData.startDate,eventData.cancelled,eventData.location.sourceId,eventData.location.url,eventData.location.name,eventData.location.location.name,eventData.location.location.address.country.longName,eventData.location.location.address.city,eventData.location.location.address.postalCode,eventData.location.location.address.street,eventData.location.location.address.streetHouseNumber,eventData.location.location.coordinate.lat,eventData.location.location.coordinate.lon,eventData.location.category,eventData.location.phone,eventData.location.website,eventData.location.eventPlaceId,eventData.webpageEvent,eventData.artists,eventData.sourceDate,dayofweek,year,month,season,district,supercategory,subcategory,starting_hour,time_of_day
prinz.de/stuttgart/events/404826-bambi-3,prinz.de,Bambi,"Pointiert und ironisch, mit schrägem Humor und schmerzfrei, was Klischees betrifft, erzählt das 
Vorstadttheater Basel die bekannte Geschichte von Bambi: geboren im schützenden Dickicht und von 
seiner Mutter liebevoll ins Leben eingeweiht, wandelt sich das verspielte Rehkitz mit der Zeit zum 
kraftvollen Rehbock, der schlussendlich als ergrauter Fürst des Waldes seine Erfahrungen weitergibt. Eine Geschichte über das Erwachsenwerden, über Einsamkeit und schließlich über Tod und Abschied.",404826,http://prinz.de/stuttgart/events/404826-bambi-3,2014-05-21 11:00:00,False,13262,http://prinz.de/stuttgart/locations/13262-junges-ensemble-stuttgart-jes/,Junges Ensemble Stuttgart (JES),Junges Ensemble Stuttgart (JES),Germany,Stuttgart,70173,Eberhardstr. 61a,Eberhardstr. 61a,48.773026,9.176297,familie-kinder,,,aaedacc2919b7120c076f84b51e9da312756416a9d2b80814c58f8005b584aae,,,,2,2014,5,spring,Europaviertel,familie-kinder,,11:00:00,Morning
prinz.de/stuttgart/events/396782-flop-oder-top-die-comedy-spielshow-3,prinz.de,Flop oder Top? Die Comedy-Spielshow,"Zwei Teams aus erstklassigen Komikern wählen spontan ihren Flop oder Top zu einem vorgegebenen Thema aus und vertreten diese Einschätzung dann aus dem Stand, kurz und bündig, vor allem aber mit haarsträubendem Enthusiasmus. Das Publikum vergibt die Punkte, und jede Runde bringt neue Überraschungen für die beiden Teams. Die Spielleitung übernimmt Andi Kraus von ""Eure Mütter"". 

Wer bislang dachte, dass diese Shows, in denen Spaßvögel an einem langen Tisch sitzen und 
labern, nie witzig sind, wird hier schonungslos vom Gegenteil überzeugt! Flop oder Top? - Comedians geben Bescheid.",396782,http://prinz.de/stuttgart/events/396782-flop-oder-top-die-comedy-spielshow-3,2014-04-16 08:00:00,False,10922,http://prinz.de/stuttgart/locations/10922-rosenau-1/,Rosenau,Rosenau,Germany,Stuttgart,70178,Rotebühlstr. 109b,Rotebühlstr. 109b,48.771364,9.161078,kultur/buehne,,,9583e7817bb96807562f10608a9e8cd0dd858f23c4628d0b159d21d19231c32e,,,,2,2014,4,spring,Karlshöhe,kultur,buehne,08:00:00,Morning
prinz.de/stuttgart/events/456482-fates-warning-3,prinz.de,Fates Warning,"1982 im US-Bundesstatte Connecticut gegründet, gehören Fates Warning mit zu den Begründern des Progressive Metal. Ist ihr Debüt „Night On Bröcken“ noch traditioneller Heavy Metal, so werden die Arrangements bei den beiden folgenden Alben „The Spectre Within“ und „Awaken The Guardian“, komplexer und die Gitarrensounds vertrackter.  Mit letzterem steigt man auch erstmals in die Top 200 der US-Charts ein. 

Die nächsten drei Alben etablieren Fates Warning als Flagschiff der Progressive-Metal-Szene. 1994 gehen  sie als support der Dream Theater mit auf Europa-Tour. 1997 veröffentlichen sie das Album „A Pleasant Shade Of Gray“, das als eines ihrer besten Alben gilt. Die Platte besteht aus einem einzigen, sechzigminütigen Song! 

Nach „Fates Warning X“ im Jahr 2004, veröffentlicht die Band fast eine Dekade lang keine Platte mehr, bis im vergangenen Jahr „Darkness In A Different Light“ (insideout music) erscheint. Die Band legte eine Plattenpause ein, trat aber nach wie vor jedes Jahr auf.

Fates Warning bestehen heute aus Ray Alder (Gesang), Jim Matheos und Frank Aresti (Gitarren), Joey Vera (Bass) und Bobby Jarzombek (Drums).",456482,http://prinz.de/stuttgart/events/456482-fates-warning-3,2014-11-05 08:00:00,False,12805,http://prinz.de/stuttgart/locations/12805-universum/,Universum,Universum,Germany,Stuttgart,70173,Charlottenplatz 1,Charlottenplatz 1,48.77593151,9.1824392,konzert/metal,,,da91e135ab9e14a581f4e715e89323038b3119b8ec46dba3691bff8757d127ed,,,,2,2014,11,autumn,Europaviertel,konzert,metal,08:00:00,Morning
prinz.de/stuttgart/events/500405-froggy-night-3,prinz.de,Froggy Night,,500405,http://prinz.de/stuttgart/events/500405-froggy-night-3,2015-07-29 08:00:00,False,12063,http://prinz.de/stuttgart/locations/12063-renitenztheater/,Renitenztheater,Renitenztheater,Germany,Stuttgart,70174,Büchsenstr. 26,Büchsenstr. 26,48.77807,9.17328,kultur/buehne,,http://www.renitenztheater.de,cda3ff0531c1cc7b0f298d07ca9ea5f763e6d8ab4edd44a4ee44a177aba9fefc,,,,2,2015,7,summer,Relenberg,kultur,buehne,08:00:00,Morning
prinz.de/stuttgart/events/354643-start-zum-kurs-abenteuer-philosophie,prinz.de,Start zum Kurs Abenteuer Philosophie,"Eine moderne Reise durch die Traditionen der Naturphilosophie



Entdecke neue Perspektiven und Antworten durch die Philosophie. Genieße den Herbst mit großen Philosophen der Menschheitsgeschichte und tiefen Gesprächen mit sehr lebendigen Philosophen im Anschluss an den Kurs.



Dieser Kurs bietet dir ein vergleichendes Studium von 5000 Jahren Philosophie und bildet eine Verknüpfung zwischen Ost und West einerseits, zwischen Tradition und Moderne andererseits.



Vermittelt werden nicht nur Wissen und Fakten, sondern vor allem Dinge, die für die Praxis und den Alltag umsetzbar sind und somit das Leben bereichern. Für Pythagoras, Marc Aurel und andere große Philosophen war Philosophie keine Ansammlung von Theorien, sondern eine Lehre des Lebens, eine Suche nach Weisheit, die das Handeln des Menschen beeinflusst.",354643,http://prinz.de/stuttgart/events/354643-start-zum-kurs-abenteuer-philosophie,2013-11-27 06:00:00,False,14678,http://prinz.de/stuttgart/locations/14678-treffpunkt-philosophie/,Treffpunkt Philosophie,Treffpunkt Philosophie,Germany,Stuttgart,70174,Theodor-Heuss-Str. 16,Theodor-Heuss-Str. 16,48.77705,9.17322,stadtleben/special-events,,,7c34e2d756c388586be2e1472546477411ebf792b1d2edee1323bfed42c87824,,,,2,2013,11,autumn,Relenberg,stadtleben,special-events,06:00:00,Morning
prinz.de/stuttgart/events/355167-vernissage-apokalypse-die-bilderwelten-der-of,prinz.de,Vernissage: Apokalypse – Die Bilderwelten der Offenbarung,"Ein spannender Bilderzyklus aus 33 großformatigen Ölgemälden. Das Thema: Die Apokalypse - völlig neu interpretiert im Spannungsfeld von Kirche und Gesellschaft, Religion und Zeitgeschehen, persönlichen und universellen Dramen. Was feststeht: Wir gehen nicht unter, sondern werden erlöst!

Der Künstler Gebhardt Binder stellt sein Werk zusammen mit dem dazugehörigen Bild- und Textband vor.",355167,http://prinz.de/stuttgart/events/355167-vernissage-apokalypse-die-bilderwelten-der-of,2013-11-06 06:00:00,False,10971,http://prinz.de/stuttgart/locations/10971-treffpunkt-rotebuehlplatz/,Treffpunkt Rotebühlplatz,Treffpunkt Rotebühlplatz,Germany,Stuttgart,70173,Rotebühlplatz 28,Rotebühlplatz 28,48.77492906,9.17108341,kultur/kunst,,,ce9011a93f2b5bc1e7c7236ca014d134fe056a1a8039848c8bc6ef35435f7c52,,,,2,2013,11,autumn,Europaviertel,kultur,kunst,06:00:00,Morning
prinz.de/stuttgart/events/301260-studio-impro-show,prinz.de,Studio Impro Show,Das interaktive Spontan-Spektakel. Kopf ausschalten und die Fantasie willkommen heißen. Mit den Improvisationskünstlern von Wildwechsel.,301260,http://prinz.de/stuttgart/events/301260-studio-impro-show,2013-10-30 08:00:00,False,12099,http://prinz.de/stuttgart/locations/12099-studio-theater/,Studio Theater,Studio Theater,Germany,Stuttgart,70184,Hohenheimer Str. 44,Hohenheimer Str. 44,48.77016606,9.18610587,kultur/buehne,,,e440d933ffe682a1e8550d0b33709b9924b3f7f7287d8c15e3a77619c7b1ac62,,,,2,2013,10,autumn,Other,kultur,buehne,08:00:00,Morning
prinz.de/stuttgart/events/329717-bodensehs-metronome-art,prinz.de,Bodensehs Metronome Art,"Markus Bodenseh erweckt mit diesem innovativem Projekt seinen langjährigen Übebegleiter, das Metronom, zu neuem Leben.",329717,http://prinz.de/stuttgart/events/329717-bodensehs-metronome-art,2012-10-10 09:00:00,False,13080,http://prinz.de/stuttgart/locations/13080-kiste-1/,Kiste,Kiste,Germany,Stuttgart,70173,Hauptstätter Str. 35,Hauptstätter Str. 35,48.77259604,9.17915677,konzert/jazzchanson,,,7512a5245464afdd5eee2523fc2aa49b3fa85ac38b165e79253cba40e746f0f7,,,,2,2012,10,autumn,Europaviertel,konzert,jazzchanson,09:00:00,Morning
prinz.de/stuttgart/events/484761-weinmomente,prinz.de,Weinmomente ,"Für jeden Moment gibt es den passenden Wein. Nach dieser Maxime gestaltet der OnlineWeinhandel
GEILE WEINE sein Angebot. Was liegt da näher, als neben augenblicklich abgestimmten
Weinen, auch selbst für denkwürdige Momente zu sorgen? Die WEINMOMENTE
Events von GEILE WEINE schaffen genau das, indem sie Weinproben mit unterschiedlichen
Erlebnissen – wie Kunstausstellungen, Konzerten, Picknicks, Bootstouren und vielem mehr
verknüpfen. Die Weinmomente fanden bisher monatlich in Berlin und Hamburg statt. Nun
wird das erfolgreiche Event-Konzept auf sieben weitere Städte ausgeweitet, u.a. auch auf
Stuttgart.",484761,http://prinz.de/stuttgart/events/484761-weinmomente,2015-03-04 07:30:00,False,12260,http://prinz.de/stuttgart/locations/12260-holzmanufaktur/,Holzmanufaktur,Holzmanufaktur,Germany,Stuttgart,70174,Showroom: Kronenstr. 30,Showroom: Kronenstr. 30,48.78345271,9.17663273,party/barlounge,,,ce7089b7ca545060e70eedaf0baced899957c2c88c403548cfcb8381c761f780,,,,2,2015,3,spring,Relenberg,party,barlounge,07:30:00,Morning
prinz.de/stuttgart/events/488527-kostenlose-und-anonyme-hiv-syphilis-hepatitis,prinz.de,"Kostenlose und anonyme HIV- , Syphilis-, Hepatitis B- und C-Tests","Unter dem Motto „Weil ich mir`s wert bin!“, bieten die AIDS-Hilfe Stuttgart e.V. und das Gesundheitsamt Stuttgart  kostenlose und anonyme HIV- , Syphilis-, Hepatitis B- und C-Tests für bi- und homosexuelle Männer an.

Am Mittwoch, 04. März 2015, besteht von 19.00 Uhr bis 22.00 Uhr Gelegenheit, dieses Angebot im Zentrum Weissenburg (www.zentrum-weissenburg.de), Weißenburgstr. 28 A, 70180 Stuttgart zu nutzen.

Anmeldung ist nicht nötig!

Vor der Blutabnahme durch eine Ärztin des Gesundheitsamtes Stuttgart, erfolgt eine Beratung durch Sarah-Vanessa Salvini, Sozialpädagogin/Sozialarbeiterin (B.A.) der AIDS-Hilfe Stuttgart e.V.

Die Testergebnisse können dann persönlich frühestens eine Woche nach der Aktion zu folgenden Zeiten im Gesundheitsamt der Landeshauptstadt Stuttgart, Schloßstr. 91, 70176 Stuttgart abgeholt werden: Di. 9 – 12, Mi. 12 – 16, Do. 14 – 19 u. Fr. 9 – 12 Uhr.",488527,http://prinz.de/stuttgart/events/488527-kostenlose-und-anonyme-hiv-syphilis-hepatitis,2015-03-04 07:00:00,False,11346,http://prinz.de/stuttgart/locations/11346-zentrum-weissenburg/,Zentrum Weissenburg,Zentrum Weissenburg,Germany,Stuttgart,70180,Weißenburgstr. 28a/HH,Weißenburgstr. 28a/HH,48.7681097,9.1788429,stadtleben/special-events,,,304b50e421acc601b1fcc286000698344f6de46f464f4d3a731ea23d021ec0c7,,,,2,2015,3,spring,Weinsteige,stadtleben,special-events,07:00:00,Morning
www.last.fm/event/1060542+Swedish+Singers,www.last.fm,Swedish Singers,,1060542,http://www.last.fm/event/1060542+Swedish+Singers,2009-05-20 17:44:01,False,8955912,http://www.last.fm/venue/8955912+%22Z%22+Live+Music+Club,"""Z"" Live Music Club","""Z"" Live Music Club",Germany,Stuttgart,70191,Nordbahnhofstrasse 14,Nordbahnhofstrasse 14,48.79197,9.189653,,,http://www.myspace.com/z_club,85619e82f6e24089ec6f91e15e95ac238983da6669eca415ec35a9310426c5c0,,"['Winter Took His Life', 'Tvärvägen', 'Hajen', 'Euphoria and the Lazy Boy']",2015-07-15 09:34:09.767205100,2,2009,5,spring,Am Rosensteinpark,anderes,anderes,17:44:01,Afternoon
www.last.fm/event/3254484+Junes+at+Caf%C3%A9+Galao+on+11+April+2012,www.last.fm,Junes,,3254484,http://www.last.fm/event/3254484+Junes+at+Caf%C3%A9+Galao+on+11+April+2012,2012-04-11 20:00:00,False,9067304,http://www.last.fm/venue/9067304+Caf%C3%A9+Galao,Café Galao,Café Galao,Germany,Stuttgart,70178,Tübinger Straße 90,Tübinger Straße 90,48.765214,9.168722,,0711/41000140,http://www.galao-stuttgart.de/,ea9ac95cfabc1d6eb87ecf236f027bc5eff5f09f0cdf1a3a41b8f76eecdec76e,,['Junes'],2015-07-15 11:26:21.768161300,2,2012,4,spring,Karlshöhe,anderes,anderes,20:00:00,Evening
